Public,Earn,SAT,ACT,Price,Price_with_aid,need_fraction,merit_aided
1,39300,1040,22,19700,14100,0.64,0.04
0,43700,900,22,38100,22400,0.71,0.15
0,40300,1020,20,50800,26900,0.76,0.22
1,45600,930,23,20700,9200,0.5,0.09
1,41500,1140,24,25600,18500,0.22,0.02
0,38100,1030,22,45100,24200,0.78,0.11
0,42300,1010,21,36800,24600,0.21,0.05
0,40500,1140,25,42300,26600,0.8,0.14
0,36000,1030,22,38200,19900,0.88,0.05
0,39500,1120,24,43300,23600,0.66,0.09
1,41200,1090,24,23600,16100,0.44,0.26
1,38600,1110,24,23400,17200,0.57,0.12
0,37700,1080,23,38100,21200,0.77,0.4
0,53500,1070,24,51500,31200,0.8,0.15
1,40500,950,20,22500,17100,0.44,0.01
0,42000,1040,24,50100,23400,0.82,0.15
0,38600,1030,22,41900,20100,0.83,0.11
1,44000,1090,25,25300,16000,0.55,0.15
0,45200,940,19,45800,16500,0.85,0.12
1,36700,1190,24,17700,12800,0.52,0.14
0,39500,1140,25,37100,20600,0.65,0.24
0,49900,1260,28,68000,38800,0.61,0.17
0,42500,1100,24,54400,29600,0.61,0.2
1,48200,1020,22,29400,20200,0.59,0.08
1,45200,1090,24,25900,21400,0.45,0.08
0,46000,990,20,52300,29100,0.9,0.05
1,46800,1060,23,24600,17200,0.48,0.05
1,43500,900,18,18200,8400,0.75,0.01
0,39200,1180,26,52600,25600,0.76,0.22
0,38200,1040,22,51900,26000,0.83,0.17
0,35000,1030,23,49600,30800,0.82,0.11
0,43000,1000,21,47400,28700,0.75,0.18
1,47400,1080,24,24300,17100,0.52,0.12
0,45600,1230,28,60200,42100,0.55,0.47
1,42300,1160,25,21900,14400,0.4,0.12
0,40700,1170,25,43900,25300,0.22,0.33
1,40400,970,22,20200,10900,0.51,0.06
1,44200,1110,24,22100,11800,0.42,0.12
0,44600,1160,27,55500,33900,0.66,0.26
1,39500,1090,24,18600,14300,0.41,0.07
0,36300,950,21,47500,19400,0.66,0.17
0,41500,1010,24,37600,22500,0.59,0.33
0,45600,930,20,44400,26200,0.8,0.17
1,40600,1050,23,18500,11800,0.55,0.08
1,49700,1220,25,24300,13500,0.5,0.11
0,40900,1100,25,45400,29700,0.76,0.13
0,48000,1230,27,56100,38000,0.55,0.37
0,39900,1050,23,41500,26700,0.78,0.17
1,42200,1080,24,25600,18900,0.52,0.12
0,41300,1120,25,54000,30200,0.75,0.24
0,45400,1080,21,55200,26800,0.55,0.34
1,36400,1120,22,22700,15700,0.65,0.09
1,43100,1150,26,24000,12600,0.54,0.05
0,41600,950,23,45700,26400,0.53,0.07
1,44100,1160,26,27700,22900,0.3,0.09
1,35900,1150,23,18800,13000,0.5,0.03
0,37600,910,20,39300,20800,0.82,0.15
0,46100,1240,28,66000,38200,0.31,0.01
0,34600,1100,24,51400,23300,0.8,0.19
1,42100,990,22,23400,14800,0.48,0.11
0,40500,1040,23,58400,26500,0.68,0.18
0,32400,1030,20,34100,20000,0.77,0.08
0,42900,1230,26,47700,28700,0.54,0.2
0,43200,1220,25,48700,25500,0.78,0.21
0,41300,1140,25,40700,25500,0.7,0.25
0,45000,1350,29,69100,39100,0.61,0.16
1,41000,970,21,27900,20700,0.41,0.12
0,39400,1100,23,47000,28200,0.78,0.17
1,39700,1090,24,20600,15500,0.52,0.11
0,43100,1030,23,56000,26600,0.72,0.11
0,40700,1090,21,41300,21200,0.83,0.03
0,43500,1230,28,58100,37500,0.46,0.09
0,36800,1040,23,46100,24700,0.75,0.08
0,42100,1060,24,36700,25900,0.79,0.02
1,41600,1010,22,25200,18600,0.55,0.18
0,43500,920,18,44000,20200,0.65,0.12
0,37100,1200,29,56500,25200,0.61,0.34
1,44200,820,17,28200,17700,0.94,0.01
0,43700,1120,25,60000,32100,0.7,0.3
0,45000,1320,31,65700,35700,0.36,0.36
1,48300,1080,24,23500,17000,0.41,0.23
0,47400,1170,26,58300,33400,0.64,0.23
0,50000,1100,27,56750,40600,0.78,0.3
0,40900,980,23,39500,24700,0.79,0.18
1,43000,1170,26,28400,19200,0.33,0.19
0,35500,960,21,45700,27900,0.72,0.2
0,34700,1060,24,31100,19400,0.79,0.13
1,45100,1040,23,31900,23000,0.45,0.24
1,44200,1020,22,24600,14700,0.49,0.02
0,46200,1200,28,56900,36900,0.55,0.3
1,48400,1130,25,28800,21500,0.24,0.17
0,33600,1120,24,38000,22200,0.78,0.08
1,40400,960,21,25400,15600,0.57,0.02
0,43000,1100,25,46300,24800,0.67,0.21
1,39100,1030,24,20600,11700,0.52,0.06
0,36000,1010,22,44700,24000,0.85,0.12
0,45400,1040,23,43600,26100,0.74,0.17
0,38600,1190,24,43300,25500,0.82,0.21
0,39300,1340,28,64900,47400,0.67,0.04
1,40500,910,17,29100,16500,0.51,0.01
0,40200,1050,24,48400,23100,0.7,0.17
1,41000,970,20,20500,14100,0.48,0.2
1,39300,1010,24,21400,13300,0.51,0.06
0,40100,1040,24,50000,27200,0.69,0.29
1,33700,930,16,19300,14100,0.89,0.01
0,37100,990,22,51400,28900,0.82,0.14
0,36900,1140,23,45600,25600,0.76,0.09
0,39300,1050,20,41900,14900,0.82,0.08
0,40000,1130,26,50600,23600,0.6,0.38
0,45300,1210,27,64300,38400,0.53,0.23
0,39400,1040,23,41700,25300,0.82,0.18
